BẢNG CÂU HỎI TRẮC NGHIỆM_ CHUYÊN MÔN KỸ THUẬT ĐIỆN;;;
Dành cho Bộ môn Điện;;;
;;;
STT;Câu hỏi;Đáp án;Đáp án đúng
43;Cáp ngầm 22kV cách mép móng tối thiểu?;"A. 0,5m
B. 0,3m
C. 0,7m
D. 1,0m";A
44;Công tắc, ổ cắm nên cách mép cửa  bao nhiêu?;"A. 5cm
B. 15 - 20cm
C. 30 cm
D. 40 cm";B
45;Khoảng cách tối thiểu dây điện - ống nước song song:;"A. 1cm
B. 3cm
C. 5cm
D. 10cm";C
46;Khi chọn tủ điện ngoài trời, cấp bảo vệ ip tối thiểu là bao nhiêu?;"A. IP20
B. IP33
C. IP54
D. IP65";C
47;Cấp bảo vệ IP tối thiểu cho ổ cắm khu vực ẩm ướt?;"A. IP20
B. IP33
C. IP44
D. IP55";C
48;Khi lắp đặt cáp điện trên máng, khoảng cách giữa các thanh chống đỡ máng là?;"A. 1,0 - 1,2m
B. 1,2 - 1,5m
C. 1,5 - 2,0m
D. 2,0 - 2,5m";C
49;Khi lắp đặt cáp điện trên máng, khoảng cách giữa các thanh chống đỡ máng là?;"A. 1,0 - 1,2m
B. 1,2 - 1,5m
C. 1,5 - 2,0m
D. 2,0 - 2,5m";C
50;Theo tiêu chuẩn quy định khi nghiệm thu tủ cấp điện, thì các khe hở của nắp đậy đều và không vượt quá bao nhiêu mm?;"A. 1 mm
B. 2 mm
C. 3 mm
D. 4 mm";A
51;Tiêu chuẩn quy định về nghiệm thu Đèn Downlight với sai số lệch tim đèn nhỏ hơn?;"A. 2 mm
B. 3 mm
C. 4 mm
D. 5 mm";B
52;Đối với các thiết bị thông tin liên lạc, truyền hình cáp thì khi lắp đặt, độ dài đầu chờ phải dài tối thiểu bao nhiêu mm?;"A. 100 mm
B. 200 mm
C. 300 mm
D. 400 mm";D
53;Đối với dây dẫn có tiết diện từ  từ bao nhiêu mm2 trở lên phải được ép đầu cos khi kết nối với tủ điện và thiết bị?;"A. 2.5 mm2
B. 4 mm2
C. 6 mm2
D. 10 mm2";C
54;Hệ thống báo cháy phải đảm bảo liên động với những hệ nào?;"A. Quạt hút khói, quạt tăng áp cầu thang
B. Thang máy, thang cuốn
C. Chữa cháy tự động, hệ cấp gas
D. Tất cả đều đúng";D
55;Theo tiêu chuẩn bàn giao các hạng mục xây dựng và kỹ thuật đối với đèn hắt trần được lắp đặt như thế nào?;"A. Đèn hắt trần và các thiết bị kèm theo không bị nhìn thầu khi đứng tại mọi vị trí trong căn hộ, ánh sáng đảm bảo, không bị ngắt quãng
B. Đèn hắt trần và các thiết bị kèm theo không bị nhìn thấy khi đứng tại mọi vị trí trong căn hộ, ánh sáng đồng màu, không bị ngắt quãng
C. Đèn hắt trần và các thiết bị kèm theo sẽ bị nhìn thấy khi đứng tại mọi vị trí trong căn hộ, ánh sáng đồng màu, không bị ngắt quãng
D. Đèn hắt trần và các thiết bị kèm theo không bị nhìn thấy khi đứng tại mọi vị trí trong căn hộ, đèn phải có ánh sáng tốt, ánh sáng đồng màu, không bị ngắt quãng";B
56;Theo tiêu chuẩn bàn giao các hạng mục xây dựng và kỹ thuật đối với  công tắc phải lắp đặt thế nào để đảm bảo yêu cầu kỹ thuật?;"A. Các hạt bật tắt - tắt phải theo hướng lắp đặt, cùng hướng trạng thái, hoạt động ổn định, công tắt lắp trên mặt gạch ốp phải che kín lỗ cắt gạch và áp sát mặt gạch ốp
B. Các hạt bật tắt - tắt phải theo hướng lắp đặt, theo hướng trạng thái, hoạt động ổn định, công tắt lắp trên mặt gạch ốp phải che kín lỗ cắt gạch và áp sát mặt gạch ốp
C. Các hạt bật tắt - tắt phải cùng hướng lắp đặt, cùng hướng trạng thái, hoạt động ổn định, công tắt lắp trên mặt gạch ốp phải che kín lỗ cắt gạch và áp sát mặt gạch ốp
D. Các hạt bật tắt - tắt phải cùng hướng lắp đặt, theo hướng trạng thái, hoạt động ổn định, công tắt lắp trên mặt gạch ốp phải che kín lỗ cắt gạch và áp sát mặt gạch ốp";C
57;Khoảng cách giữa các kẹp C giữ ống diện, điện nhẹ PVC nổi trên trần là bao nhiêu?;"A. < 1200mm
B. < 1100mm
C. < 1000mm
D. < 900mm";C
58;Mặt công tác, ổ cắm lắp đúng vị trí, thăng bằng ngang, sai lệch cao độ không quá bao nhiêu mm?;"A. ±2mm
B. ±3mm
C. ±4mm
D. ±5mm";D
59;Khi mắc song song thì khoảng cách giữa đường điện chiếu sáng và động lực với cáp báo cháy không được nhỏ hơn ?;"A. 0.3m
B. 0.4m
C. 0.5m
D. 0.6m";C
60;Yêu cầu điện trở tiếp địa hệ thống tiếp địa trạm biến áp cần đạt được là:;A≥ 10 Ohm (W);
;;B≤ 10 Ohm (W);
;;C≤ 4 Ohm (W);C
;;D≤ 6 Ohm (W);
61;Đóng điện vào máy bơm nước, động cơ điện của bơm không quay là do;A. Mất điện, hở mạch, động cơ bị cháy.;A
;;B. Mất nước mồi, dây quấn động cơ bị chập.;
;;C. Mất điện nguồn, đầu ống hút bị tắc.;
;;D. Đầu ống hút bị tắc, nguồn nước đầu hút bị cạn;
62;Tiết diện 1,5mm2 dây điện đồng có thể chịu tối đa bao nhiêu ampe?;"A. 2A
B. 30A
C. 4A
D. 6A";B
63;Chiều cao cột nước bơm của máy bơm được tính;A. Từ vị trí đặt máy đến bề mặt mực nước dưới mà máy có thể hút lên bình thường;
;;B. Từ vị trí đặt máy đến vị trí cao nhất mà máy có thể đẩy nước lên được;B
;;C. Từ miệng ống hút đến vị trí cao nhất mà máy có thể đẩy nước lên được;
;;D. Từ miệng ống hút đến vị trí đặt máy;
64;Biện pháp thi công an toàn ngoài trời khi có trời mưa;"A. Tiếp tục làm việc bình thường để kịp tiến độ.
B. Dùng tay trần thao tác nhanh để tránh bị ướt lâu.
C. Ngừng thi công hoặc chỉ làm khi đã cắt nguồn điện, sử dụng dụng cụ và đồ bảo hộ cách điện đầy đủ.
D. Đứng trên nền đất ướt và kiểm tra dây điện.";C
65;Yêu cầu điện trở tiếp địa hệ thống chống sét, tủ điện, motor cần đạt được là:;A≥ 10 Ohm (W);
;;B≤ 10 Ohm (W);B
;;C≤ 4 Ohm (W);
;;D≤ 6 Ohm (W);
66;Mạch điện có một bóng đèn có thể tắt, mở ở hai vị trí khác nhau là;A. Mạch đèn sợi đốt đơn giản.;
;;B. Mạch đèn cầu thang.;B
;;C. Mạch đèn thay đổi ánh sáng.;
;;D. Mạch đèn sáng luân phiên.;
67;Khi bị điện giật cần;"A. Tách nạn nhân khỏi nguồn điện
B. Dùng tay không kéo nạn nhân khỏi nguồn điện
C. Để nằm yên
D. Bỏ đi";A
68;Khi cuộn dây động cơ bị ẩm ta cần làm như sau :;A. Tháo động cơ, phơi nắng;
;;B. Tháo động cơ để trong mát một thời gian;
;;C. Tháo động cơ, rửa sạch bằng nước, phơi nắng;
;;D. Tháo động cơ, rửa sạch bằng xăng, dùng máy sấy khô;D
69;Để đo điện năng tiêu thụ ta dùng;A. Oát kế;
;;B. Ampe kế           ;
;;C. Vôn kế                       ;
;;D. Công tơ  ;D
70;Để thể hiện rõ mối liên hệ về điện của các phần tử trong mạch điện ta dùng;A. Sơ đồ cấu tạo của mạch điện;
;;B. Sơ đồ lắp đặt của mạch điện;
;;C. Sơ đồ nguyên lí của mạch điện;C
;;D. Sơ đồ nguyên lí và cấu tạo của mạch điện;
71;Số cuộn dây quấn làm việc của động cơ điện 3 pha là;A. Một.;
;;B. Hai.;
;;C. Ba.;C
;;D. Bốn.;
72;Công suất điện được tính;"A. P = U × I
B. P = U / I
C. P = I / R
D. P = R / U";A
73;Động cơ điện là loại máy biến đổi;A. Điện năng thành nhiệt năng.;
;;B. Điện năng thành quang năng.;
;;C. Điện năng thành cơ năng;C
;;D. Cơ năng thành điện năng.;
74;Điện áp nguy hiểm đối với người;"A. > 36V
B. > 12V
C. > 6V
D. > 3V";A
75;Rơ le nhiệt dùng để;"A. Bảo vệ quá tải động cơ
B. Tăng điện áp
C. Đo điện
D. Giảm dòng";A
76;Contactor dùng để;"A. Đóng cắt mạch điện công suất lớn
B. Đo điện áp
C. Đo dòng điện
D. Cấp nguồn";A
77;Khi đo điện áp xoay chiều cần bắt đầu từ thang đo lớn nhất rồi giảm dần là để;A. tránh gây sai số lớn khi đọc kết quả đo.;
;;B. tránh làm hỏng que đo.;
;;C. tránh làm hỏng mạch điện của dụng cụ đo.;C
;;D. tránh không đọc được kết quả đo.;
78;Khi khởi động máy bơm nước mà áp tô mát tự động ngắt điện hoặc đứt cầu chì là do;A. Động cơ bị rò điện.;
;;B. Dây quấn động cơ bị chập;B
;;C. Mất điện.;
;;D. Không có nguồn nước cấp.;
79;Đại lượng đo ánh sáng nào được quan tâm nhất khi tính toán chiếu sáng;A. Quang thông.;
;;B. Độ chói.;
;;C. Độ rọi.;C
;;D. Công suất đèn.;
80;Đo điện trở hai đầu của cuộn dây cho giá trị R = ∞ chứng tỏ rằng :;A. Cuộn dây bị ngắn mạch;
;;B. Cuộn dây bị ẩm nên điện trở tăng;
;;C. Cuộn dây bị đứt;
;;D. Cuộn dây bị chập một số vòng;C
81;Khi đóng điện vào máy bơm nước, có điện vào, động cơ rung nhẹ nhưng không quay là do;A. Điện áp nguồn quá cao so với định mức;
;;B. Mạch cấp điện cho động cơ bị hở mạch do đứt dây;
;;C. Tụ điện khởi động bị hỏng;
;;D. Dây quấn động cơ bị cháy;
82;Sử dụng thiết bị đo nào để kiểm tra cách điện động cơ, cáp điện;A. Đồng  hồ vạn năng;
;;B. Đồng hồ ampe kìm;
;;C. Đồng hồ đo điện trở đất Teraohm;D
;;D. Đồng hồ Megaohm;
83;Sơ đồ cấp điện cho nhà chung cư theo thứ tự thế nào là đú;"A.Tủ điện tổng; trạm biến áp; tủ điện tầng; bảng điện; các tải của căn hộ";
;;"B. Trạm biến áp; tủ điện tổng; tủ điện tầng; bảng điện; các tải của căn hộ";B
;;"B. Tủ điện tầng; trạm biến áp; tủ điện tổng; bảng điện; các tải của căn hộ";
;;"D. Bảng điện; tủ điện tầng; trạm biến áp; tủ điện tổng; các tải của căn hộ";
84;Động cơ điện có các phần chính là;A. Stato là phần quay và roto là phần tĩnh.;
;;B. Stato là phần tĩnh và roto là phần quay.;B
